"logFC","logCPM","F","PValue","FDR","external_gene_name"
-2.68393028677024,0.0889006569302949,31.1611350653748,6.73392724090186e-07,0.000310032020298656,"TEKT3"
-0.916143148761591,2.75971887524043,30.8037571517876,7.84603760505535e-07,0.000355921650004621,"LYSMD4"
-2.64732531235203,8.10924414791995,30.3355153101085,9.15332483366555e-07,0.000409206682817509,"TTN"
-2.36078842381931,0.534923377904367,30.2612220488086,9.38168284919056e-07,0.000413423958355687,"RP11-53O19.1"
-2.96870198032487,-1.449090038418,28.8315292470365,1.03135833398614e-06,0.000448088880682683,"CTD-2332E11.2"
-2.53242684447465,-0.555965035596581,29.6555017100374,1.05774027146526e-06,0.000453168252137347,"RP11-142C4.5"
-2.10241985711011,-1.23464697415288,29.121442517525,1.18282481883505e-06,0.000499816399816505,"PPP1R27"
-1.35145465899424,0.534473881468912,29.5458213068127,1.2044071325481e-06,0.000502058740779883,"WEE2-AS1"
-1.81986276254403,2.63070754112529,29.3809944962739,1.26796474060272e-06,0.000521505444711629,"OR2A9P"
-4.32056864040543,2.42099119070852,29.2350236684678,1.33365104650526e-06,0.000541304392520365,"UGT2B11"
-2.3918448185784,1.47560287273262,29.0165619516084,1.44155944911228e-06,0.000577503692555409,"SIGLEC15"
-2.13895457467377,-2.98331099610368,25.9706256650589,1.76606254011275e-06,0.000698128278773171,"IL36G"
-3.27728169506115,1.52988231294388,28.377994535042,1.78792537436641e-06,0.000698128278773171,"ANKRD1"
-2.9165955757422,-0.556111803334501,27.9138777541739,1.85651455166819e-06,0.000715848804691357,"GLP1R"
-3.60098661635554,3.45022625276706,28.0719294422018,1.98726487427613e-06,0.00075240502751146,"ROPN1B"
-1.00249325994334,5.52592300771025,28.0403749467792,2.00010413511653e-06,0.00075240502751146,"SLC37A3"
-1.13225580954655,4.19488456083753,27.9622052826546,2.05521040847687e-06,0.00076382018638899,"RNF8"
4.55032932993487,-1.28385284449221,26.0578190986777,2.19656841497989e-06,0.000806637451153389,"RP11-46B11.2"
-2.00815476233865,-1.74447965505434,26.8932977662538,2.31691747219771e-06,0.000831065215835315,"CAPNS2"
-1.59278849106372,-0.448964249585804,27.5642103865995,2.31697113371923e-06,0.000831065215835315,"AC009237.11"
-2.02450030500774,-2.40733217196962,25.9448480040985,2.54629974322209e-06,0.000891565142657171,"BMS1P9"
-3.80966834751104,0.556998342462942,27.1745719337764,2.54963312497483e-06,0.000891565142657171,"IGHV3-72"
-2.34117368716344,-0.900673191748478,26.9967879054502,2.59145390289636e-06,0.000891565142657171,"RP11-465K1.2"
-3.66716904591978,0.104114168386794,26.992163479851,2.61217680611376e-06,0.000891565142657171,"UGT2B28"
-3.28972830602266,-0.535655771307331,26.7965737841217,2.63015618963927e-06,0.000891565142657171,"FLJ31662"
-1.69240144580971,0.0304189805903994,27.1800663237702,2.69210046591058e-06,0.000902643729042865,"RP11-440D17.4"
-2.0501325058055,-0.193593065222723,26.9668102566901,2.85441611600344e-06,0.000938325940891396,"RP3-509I19.11"
-3.39148358490757,-0.295463570219239,26.6526460972051,2.86163668912805e-06,0.000938325940891396,"MYBPC2"
-2.97727430506029,-1.53132653924307,25.9513015019415,2.88977743004774e-06,0.000938325940891396,"THEG"
5.53506153539758,3.45139776807187,26.8130406398537,3.01822404230906e-06,0.000969824552428204,"ATP1A3"
-1.24055059779984,5.46346569816353,26.7939312513384,3.08766536099431e-06,0.000981909416397851,"ARHGEF5"
-1.74401055275179,-2.82691988250285,25.0116587781413,3.17498260794096e-06,0.000999374372521987,"RP11-481H12.1"
-3.44486921086492,1.56362801381987,26.4258719552513,3.5243462776512e-06,0.00109813646087582,"PNMT"
-3.40275879739761,4.5259064906614,26.3170970538251,3.65849618122453e-06,0.00112853631702233,"NPY1R"
-1.97649485681745,6.62444977381011,26.249337947962,3.74104009632082e-06,0.0011425729094179,"SLC26A2"
-1.35706758489613,-0.783426329386009,26.0479944429352,3.90193228674431e-06,0.00118002848283531,"B4GALT1-AS1"
-2.4215714417354,-1.9191054969612,24.9204642731014,4.24778424746568e-06,0.00127214952118033,"LA16c-83F12.6"
-3.25333062380492,-1.05629833263936,25.1240603166658,4.33530207798684e-06,0.00128587560768904,"TBX22"
-2.58294206011274,5.31651387978221,25.6382692039967,4.64783257069852e-06,0.00134712372647046,"NEB"
-1.18781160498295,4.16477522155133,25.6246725749401,4.67104530024106e-06,0.00134712372647046,"ZNF74"
-2.05167081013811,-0.570461210346562,25.5120202715221,4.67281222590007e-06,0.00134712372647046,"APOBEC2"
-1.11934521229812,-0.932104432651528,25.3916635548469,4.92029610365598e-06,0.00140533679545811,"RP11-686O6.2"
-3.1168319930061,-0.251948088456911,25.0193757649914,5.3610282841483e-06,0.00150460183466615,"FOXL2NB"
-2.40177366168237,-0.96221136754214,24.936546518608,5.36730605997602e-06,0.00150460183466615,"TMEM72"
-2.34524576208505,0.738167913972709,25.2195250556811,5.41416681194095e-06,0.00150460183466615,"DNAJB7"
